Treatment,Snail,Date,Food
Control,1,2/8/2023,yes
Control,2,2/8/2023,yes
Control,3,2/8/2023,yes
Control,4,2/8/2023,yes
Control,5,2/8/2023,no
Control,6,2/8/2023,no
Control,7,2/8/2023,no
Control,8,2/8/2023,yes
Control,9,2/8/2023,yes
Control,10,2/8/2023,yes
L2,11,2/8/2023,yes
L2,12,2/8/2023,yes
L2,13,2/8/2023,yes
L2,14,2/8/2023,yes
L2,15,2/8/2023,yes
L2,16,2/8/2023,yes
L2,17,2/8/2023,no
L2,18,2/8/2023,yes
L2,19,2/8/2023,yes
L2,20,2/8/2023,no
L3,21,2/8/2023,yes
L3,22,2/8/2023,yes
L3,23,2/8/2023,yes
L3,24,2/8/2023,yes
L3,25,2/8/2023,yes
L3,26,2/8/2023,yes
L3,27,2/8/2023,yes
L3,28,2/8/2023,no
L3,29,2/8/2023,yes
L3,30,2/8/2023,yes
L4,31,2/8/2023,yes
L4,32,2/8/2023,yes
L4,33,2/8/2023,no
L4,34,2/8/2023,no
L4,35,2/8/2023,no
L4,36,2/8/2023,yes
L4,37,2/8/2023,no
L4,38,2/8/2023,yes
L4,39,2/8/2023,no
L4,40,2/8/2023,no
Control,1,2/11/2023,yes
Control,2,2/11/2023,no
Control,3,2/11/2023,yes
Control,4,2/11/2023,yes
Control,5,2/11/2023,yes
Control,6,2/11/2023,yes
Control,7,2/11/2023,yes
Control,8,2/11/2023,yes
Control,9,2/11/2023,yes
Control,10,2/11/2023,yes
L2,11,2/11/2023,yes
L2,12,2/11/2023,yes
L2,13,2/11/2023,yes
L2,14,2/11/2023,yes
L2,15,2/11/2023,yes
L2,16,2/11/2023,yes
L2,17,2/11/2023,yes
L2,18,2/11/2023,yes
L2,19,2/11/2023,yes
L2,20,2/11/2023,no
L3,21,2/11/2023,yes
L3,22,2/11/2023,yes
L3,23,2/11/2023,yes
L3,24,2/11/2023,yes
L3,25,2/11/2023,yes
L3,26,2/11/2023,yes
L3,27,2/11/2023,yes
L3,28,2/11/2023,no
L3,29,2/11/2023,yes
L3,30,2/11/2023,yes
L4,31,2/11/2023,yes
L4,32,2/11/2023,no
L4,33,2/11/2023,yes
L4,34,2/11/2023,yes
L4,35,2/11/2023,yes
L4,36,2/11/2023,no
L4,37,2/11/2023,no
L4,38,2/11/2023,yes
L4,39,2/11/2023,yes
L4,40,2/11/2023,no
Control,1,2/14/2023,yes
Control,2,2/14/2023,yes
Control,3,2/14/2023,yes
Control,4,2/14/2023,yes
Control,5,2/14/2023,yes
Control,6,2/14/2023,yes
Control,7,2/14/2023,yes
Control,8,2/14/2023,yes
Control,9,2/14/2023,yes
Control,10,2/14/2023,yes
L2,11,2/14/2023,yes
L2,12,2/14/2023,no
L2,13,2/14/2023,yes
L2,14,2/14/2023,yes
L2,15,2/14/2023,no
L2,16,2/14/2023,yes
L2,17,2/14/2023,yes
L2,18,2/14/2023,no
L2,19,2/14/2023,yes
L2,20,2/14/2023,yes
L3,21,2/14/2023,yes
L3,22,2/14/2023,yes
L3,23,2/14/2023,yes
L3,24,2/14/2023,no
L3,25,2/14/2023,yes
L3,26,2/14/2023,yes
L3,27,2/14/2023,yes
L3,28,2/14/2023,no
L3,29,2/14/2023,yes
L3,30,2/14/2023,yes
L4,31,2/14/2023,no
L4,32,2/14/2023,yes
L4,33,2/14/2023,yes
L4,34,2/14/2023,no
L4,35,2/14/2023,no
L4,36,2/14/2023,yes
L4,37,2/14/2023,yes
L4,38,2/14/2023,no
L4,39,2/14/2023,yes
L4,40,2/14/2023,no
Control,1,2/17/2023,yes
Control,2,2/17/2023,yes
Control,3,2/17/2023,yes
Control,4,2/17/2023,yes
Control,5,2/17/2023,no
Control,6,2/17/2023,yes
Control,7,2/17/2023,yes
Control,8,2/17/2023,yes
Control,9,2/17/2023,yes
Control,10,2/17/2023,yes
L2,11,2/17/2023,yes
L2,12,2/17/2023,yes
L2,13,2/17/2023,yes
L2,14,2/17/2023,no
L2,15,2/17/2023,no
L2,16,2/17/2023,yes
L2,17,2/17/2023,yes
L2,18,2/17/2023,yes
L2,19,2/17/2023,yes
L2,20,2/17/2023,yes
L3,21,2/17/2023,NA
L3,22,2/17/2023,yes
L3,23,2/17/2023,yes
L3,24,2/17/2023,yes
L3,25,2/17/2023,yes
L3,26,2/17/2023,yes
L3,27,2/17/2023,yes
L3,28,2/17/2023,yes
L3,29,2/17/2023,yes
L3,30,2/17/2023,no
L4,31,2/17/2023,no
L4,32,2/17/2023,no
L4,33,2/17/2023,yes
L4,34,2/17/2023,no
L4,35,2/17/2023,no
L4,36,2/17/2023,NA
L4,37,2/17/2023,no
L4,38,2/17/2023,no
L4,39,2/17/2023,yes
L4,40,2/17/2023,yes
Control,1,2/20/2023,no
Control,2,2/20/2023,yes
Control,3,2/20/2023,no
Control,4,2/20/2023,no
Control,5,2/20/2023,no
Control,6,2/20/2023,yes
Control,7,2/20/2023,yes
Control,8,2/20/2023,yes
Control,9,2/20/2023,yes
Control,10,2/20/2023,yes
L2,11,2/20/2023,yes
L2,12,2/20/2023,yes
L2,13,2/20/2023,yes
L2,14,2/20/2023,no
L2,15,2/20/2023,no
L2,16,2/20/2023,yes
L2,17,2/20/2023,yes
L2,18,2/20/2023,yes
L2,19,2/20/2023,yes
L2,20,2/20/2023,NA
L3,21,2/20/2023,NA
L3,22,2/20/2023,yes
L3,23,2/20/2023,yes
L3,24,2/20/2023,yes
L3,25,2/20/2023,yes
L3,26,2/20/2023,yes
L3,27,2/20/2023,yes
L3,28,2/20/2023,yes
L3,29,2/20/2023,yes
L3,30,2/20/2023,no
L4,31,2/20/2023,NA
L4,32,2/20/2023,yes
L4,33,2/20/2023,yes
L4,34,2/20/2023,yes
L4,35,2/20/2023,no
L4,36,2/20/2023,NA
L4,37,2/20/2023,no
L4,38,2/20/2023,no
L4,39,2/20/2023,yes
L4,40,2/20/2023,no
Control,1,2/23/2023,yes
Control,2,2/23/2023,yes
Control,3,2/23/2023,yes
Control,4,2/23/2023,NA
Control,5,2/23/2023,no
Control,6,2/23/2023,yes
Control,7,2/23/2023,yes
Control,8,2/23/2023,yes
Control,9,2/23/2023,yes
Control,10,2/23/2023,yes
L2,11,2/23/2023,yes
L2,12,2/23/2023,yes
L2,13,2/23/2023,yes
L2,14,2/23/2023,NA
L2,15,2/23/2023,no
L2,16,2/23/2023,no
L2,17,2/23/2023,yes
L2,18,2/23/2023,yes
L2,19,2/23/2023,yes
L2,20,2/23/2023,NA
L3,21,2/23/2023,NA
L3,22,2/23/2023,no
L3,23,2/23/2023,yes
L3,24,2/23/2023,yes
L3,25,2/23/2023,no
L3,26,2/23/2023,yes
L3,27,2/23/2023,no
L3,28,2/23/2023,yes
L3,29,2/23/2023,yes
L3,30,2/23/2023,no
L4,31,2/23/2023,NA
L4,32,2/23/2023,NA
L4,33,2/23/2023,yes
L4,34,2/23/2023,NA
L4,35,2/23/2023,no
L4,36,2/23/2023,NA
L4,37,2/23/2023,NA
L4,38,2/23/2023,no
L4,39,2/23/2023,yes
L4,40,2/23/2023,no
Control,1,2/26/2023,NA
Control,2,2/26/2023,no
Control,3,2/26/2023,yes
Control,4,2/26/2023,NA
Control,5,2/26/2023,yes
Control,6,2/26/2023,yes
Control,7,2/26/2023,yes
Control,8,2/26/2023,yes
Control,9,2/26/2023,yes
Control,10,2/26/2023,yes
L2,11,2/26/2023,NA
L2,12,2/26/2023,yes
L2,13,2/26/2023,yes
L2,14,2/26/2023,NA
L2,15,2/26/2023,no
L2,16,2/26/2023,no
L2,17,2/26/2023,no
L2,18,2/26/2023,yes
L2,19,2/26/2023,yes
L2,20,2/26/2023,NA
L3,21,2/26/2023,NA
L3,22,2/26/2023,no
L3,23,2/26/2023,yes
L3,24,2/26/2023,yes
L3,25,2/26/2023,no
L3,26,2/26/2023,yes
L3,27,2/26/2023,NA
L3,28,2/26/2023,NA
L3,29,2/26/2023,yes
L3,30,2/26/2023,no
L4,31,2/26/2023,NA
L4,32,2/26/2023,NA
L4,33,2/26/2023,yes
L4,34,2/26/2023,NA
L4,35,2/26/2023,no
L4,36,2/26/2023,NA
L4,37,2/26/2023,NA
L4,38,2/26/2023,no
L4,39,2/26/2023,yes
L4,40,2/26/2023,no
Control,1,3/1/2023,NA
Control,2,3/1/2023,yes
Control,3,3/1/2023,no
Control,4,3/1/2023,NA
Control,5,3/1/2023,NA
Control,6,3/1/2023,no
Control,7,3/1/2023,no
Control,8,3/1/2023,yes
Control,9,3/1/2023,yes
Control,10,3/1/2023,yes
L2,11,3/1/2023,NA
L2,12,3/1/2023,yes
L2,13,3/1/2023,yes
L2,14,3/1/2023,NA
L2,15,3/1/2023,NA
L2,16,3/1/2023,no
L2,17,3/1/2023,NA
L2,18,3/1/2023,NA
L2,19,3/1/2023,yes
L2,20,3/1/2023,NA
L3,21,3/1/2023,NA
L3,22,3/1/2023,NA
L3,23,3/1/2023,yes
L3,24,3/1/2023,yes
L3,25,3/1/2023,NA
L3,26,3/1/2023,yes
L3,27,3/1/2023,NA
L3,28,3/1/2023,NA
L3,29,3/1/2023,no
L3,30,3/1/2023,NA
L4,31,3/1/2023,NA
L4,32,3/1/2023,NA
L4,33,3/1/2023,no
L4,34,3/1/2023,NA
L4,35,3/1/2023,NA
L4,36,3/1/2023,NA
L4,37,3/1/2023,NA
L4,38,3/1/2023,NA
L4,39,3/1/2023,yes
L4,40,3/1/2023,NA
Control,1,3/4/2023,NA
Control,2,3/4/2023,yes
Control,3,3/4/2023,no
Control,4,3/4/2023,NA
Control,5,3/4/2023,NA
Control,6,3/4/2023,yes
Control,7,3/4/2023,yes
Control,8,3/4/2023,no
Control,9,3/4/2023,no
Control,10,3/4/2023,yes
L2,11,3/4/2023,NA
L2,12,3/4/2023,yes
L2,13,3/4/2023,no
L2,14,3/4/2023,NA
L2,15,3/4/2023,NA
L2,16,3/4/2023,NA
L2,17,3/4/2023,NA
L2,18,3/4/2023,NA
L2,19,3/4/2023,yes
L2,20,3/4/2023,NA
L3,21,3/4/2023,NA
L3,22,3/4/2023,NA
L3,23,3/4/2023,yes
L3,24,3/4/2023,yes
L3,25,3/4/2023,NA
L3,26,3/4/2023,yes
L3,27,3/4/2023,NA
L3,28,3/4/2023,NA
L3,29,3/4/2023,NA
L3,30,3/4/2023,NA
L4,31,3/4/2023,NA
L4,32,3/4/2023,NA
L4,33,3/4/2023,no
L4,34,3/4/2023,NA
L4,35,3/4/2023,NA
L4,36,3/4/2023,NA
L4,37,3/4/2023,NA
L4,38,3/4/2023,NA
L4,39,3/4/2023,yes
L4,40,3/4/2023,NA
